,Sum_of_CBX,DC_Rating,String_count,Relative_DC,Sum_of_CBX/Relative_DC,Sum/Top_performer,Estimated_Downstrings
2096.05.005.BLK01.PAD01.INV01.CMB19,4041.2403911422844,120.75,70,0.6363636363636364,6350.520614652161,0.6686633780787219,23.193563534489467
2096.05.005.BLK01.PAD02.INV01.CMB01,7010.606730443665,172.5,100,0.9090909090909091,7711.667403488032,0.8119821806008438,18.801781939915617
2096.05.005.BLK01.PAD02.INV01.CMB02,6995.386433024445,172.5,100,0.9090909090909091,7694.92507632689,0.8102193359908069,18.978066400919314
2096.05.005.BLK01.PAD02.INV01.CMB03,6946.121950267638,172.5,100,0.9090909090909091,7640.734145294402,0.804513427262346,19.5486572737654
2096.05.005.BLK01.PAD02.INV01.CMB04,6272.42012267632,172.5,100,0.9090909090909091,6899.662134943952,0.7264839641822292,27.351603581777084
2096.05.005.BLK01.PAD02.INV01.CMB05,5414.718282291357,138.0,80,0.7272727272727273,7445.2376381506165,0.7839290747656783,17.285674018745738
2096.05.005.BLK01.PAD02.INV01.CMB06,6885.848418904374,172.5,100,0.9090909090909091,7574.433260794812,0.7975324289963429,20.24675710036571
2096.05.005.BLK01.PAD02.INV01.CMB07,7037.206733114542,172.5,100,0.9090909090909091,7740.927406425996,0.8150630449258807,18.493695507411935
2096.05.005.BLK01.PAD02.INV01.CMB08,5562.478779081963,155.25,90,0.8181818181818182,6798.58517443351,0.7158412994367744,25.5742830506903
2096.05.005.BLK01.PAD02.INV01.CMB09,5205.062816189477,138.0,80,0.7272727272727273,7156.961372260531,0.7535756921902023,19.71394462478382
2096.05.005.BLK01.PAD02.INV01.CMB10,4893.752557997258,138.0,80,0.7272727272727273,6728.909767246229,0.708504988610326,23.31960091117392
2096.05.005.BLK01.PAD02.INV01.CMB11,5289.800425029623,138.0,80,0.7272727272727273,7273.475584415731,0.7658437866381004,18.73249706895197
2096.05.005.BLK01.PAD02.INV01.CMB12,6237.153511525882,172.5,100,0.9090909090909091,6860.868862678471,0.7223993163157353,27.76006836842647
2096.05.005.BLK01.PAD02.INV01.CMB13,6790.481656337864,172.5,100,0.9090909090909091,7469.529821971651,0.7864868640683703,21.351313593162967
2096.05.005.BLK01.PAD02.INV01.CMB14,6129.929368608021,172.5,100,0.9090909090909091,6742.922305468824,0.7099804064086336,29.00195935913664
2096.05.005.BLK01.PAD02.INV01.CMB15,6907.8630192380115,172.5,100,0.9090909090909091,7598.649321161813,0.8000822030560314,19.99177969439686
2096.05.005.BLK01.PAD02.INV01.CMB16,5435.43692046966,138.0,80,0.7272727272727273,7473.725765645783,0.7869286662514701,17.045706699882395
2096.05.005.BLK01.PAD02.INV01.CMB17,5512.170447208205,138.0,80,0.7272727272727273,7579.234364911281,0.7980379501483599,16.15696398813121
2096.05.005.BLK01.PAD02.INV01.CMB18,4955.888253948174,138.0,80,0.7272727272727273,6814.346349178739,0.7175008358727822,22.59993313017742
2096.05.005.BLK01.PAD02.INV01.CMB19,6555.1598008481205,172.5,100,0.9090909090909091,7210.675780932933,0.7592314265990506,24.076857340094936
2096.05.005.BLK01.PAD03.INV01.CMB01,5614.2978846711985,138.0,80,0.7272727272727273,7719.659591422897,0.8128236995418953,14.974104036648379
2096.05.005.BLK01.PAD03.INV01.CMB02,5566.463382360518,138.0,80,0.7272727272727273,7653.8871507457125,0.8058983425457747,15.52813259633802
2096.05.005.BLK01.PAD03.INV01.CMB03,6736.526752375413,172.5,100,0.9090909090909091,7410.179427612954,0.7802377015838605,21.976229841613947
2096.05.005.BLK01.PAD03.INV01.CMB04,6996.034039968152,172.5,100,0.9090909090909091,7695.637443964967,0.8102943430934075,18.970565690659246
