Date (-05:00),Irradiance Reference (Link) (W/m²),Meter AC Power (W)
8/2/2022 3:55,0,0
8/2/2022 4:00,,0
8/2/2022 4:05,,0
8/2/2022 4:10,,0
8/2/2022 4:15,,0
8/2/2022 4:20,0,0
8/2/2022 4:25,,0
8/2/2022 4:30,,0
8/2/2022 4:35,0,0
8/2/2022 4:40,0,0
8/2/2022 4:45,,0
8/2/2022 4:50,,0
8/2/2022 4:55,,0
8/2/2022 5:00,,0
8/2/2022 5:05,,0
8/2/2022 5:10,,0
8/2/2022 5:15,,0
8/2/2022 5:20,,0
8/2/2022 5:25,,0
8/2/2022 5:30,,0
8/2/2022 5:35,0,0
8/2/2022 5:40,0,0
8/2/2022 5:45,,0
8/2/2022 5:50,0,0
8/2/2022 5:55,0.4782,0
8/2/2022 6:00,1.4347,0
8/2/2022 6:05,2.708,0
8/2/2022 6:10,6.3567,0
8/2/2022 6:15,9.5665,0
8/2/2022 6:20,12.1598,125280
8/2/2022 6:25,16.2317,252060
8/2/2022 6:30,19.2162,375600
8/2/2022 6:35,22.4328,491940
8/2/2022 6:40,25.1027,585870
8/2/2022 6:45,27.844,699600
8/2/2022 6:50,30.9877,801165
8/2/2022 6:55,34.1453,900075
8/2/2022 7:00,37.9853,993900
8/2/2022 7:05,37.6669,987000
8/2/2022 7:10,42.9184,1149000
8/2/2022 7:15,46.0549,1252860
8/2/2022 7:20,50.2423,1343030
8/2/2022 7:25,55.6755,1482890
8/2/2022 7:30,69.5795,1631630
8/2/2022 7:35,83.9925,1831440
8/2/2022 7:40,97.7927,2122920
8/2/2022 7:45,110.5643,2493580
8/2/2022 7:50,124.5807,2933580
8/2/2022 7:55,142.6943,3499830
8/2/2022 8:00,160.8123,4140550
8/2/2022 8:05,180.9737,5020740
8/2/2022 8:10,196.244,5584840
8/2/2022 8:15,265.9857,8331900
8/2/2022 8:20,320.3457,10244300
8/2/2022 8:25,354.9167,11546300
8/2/2022 8:30,313.505,10197100
8/2/2022 8:35,241.242,7841160
8/2/2022 8:40,181.5617,5777440
8/2/2022 8:45,346.1573,11237000
8/2/2022 8:50,342.4013,11305600
8/2/2022 8:55,392.5803,13082600
8/2/2022 9:00,431.36,14406900
8/2/2022 9:05,413.7263,14800800
8/2/2022 9:10,150.564,5014110
8/2/2022 9:15,97.7467,2879680
8/2/2022 9:20,90.6611,2513820
8/2/2022 9:25,94.7987,2924080
8/2/2022 9:30,116.326,3896130
8/2/2022 9:35,127.2847,4354200
8/2/2022 9:40,166.3563,6049980
8/2/2022 9:45,358.295,13690000
8/2/2022 9:50,384.635,14167200
8/2/2022 9:55,489.4317,17348700
8/2/2022 10:00,639.883,22600700
8/2/2022 10:05,672.467,24029600
8/2/2022 10:10,293.814,10127200
8/2/2022 10:15,333.1203,11799200
8/2/2022 10:20,368.392,13014300
8/2/2022 10:25,372.123,13209200
8/2/2022 10:30,376.764,13453200
8/2/2022 10:35,379.7887,13785800
8/2/2022 10:40,451.387,16608100
8/2/2022 10:45,484.4783,18388400
8/2/2022 10:50,465.4537,16991500
8/2/2022 10:55,411.0233,14809200
8/2/2022 11:00,489.0913,20996100
8/2/2022 11:05,996.481,28659700
8/2/2022 11:10,1020.8197,28747900
8/2/2022 11:15,421.4153,13864900
