Date (-05:00),Meter AC Power (W),Irradiance Reference (Link) (W/m²)
8/25/2022 11:15,2236720,61.5356
8/25/2022 11:20,2127990,60.4766
8/25/2022 11:25,2022690,57.5721
8/25/2022 11:30,1978740,55.769
8/25/2022 11:35,1880070,54.1268
8/25/2022 11:40,1770090,51.3019
8/25/2022 11:45,1697340,48.2023
8/25/2022 11:50,1667100,48.7087
8/25/2022 11:55,1678920,48.3213
8/25/2022 12:00,1732680,48.2854
8/25/2022 12:05,1793580,51.5238
8/25/2022 12:10,1805320,51.6101
8/25/2022 12:15,1830570,52.2335
8/25/2022 12:20,1837050,50.3881
8/25/2022 12:25,1798290,51.6101
8/25/2022 12:30,1784590,51.1392
8/25/2022 12:35,1790670,51.3645
8/25/2022 12:40,1858950,52.6974
8/25/2022 12:45,1951090,55.0482
8/25/2022 12:50,2093850,58.1754
8/25/2022 12:55,2363670,64.6146
8/25/2022 13:00,2811520,75.4444
8/25/2022 13:05,3235260,86.3429
8/25/2022 13:10,3492490,93.0113
8/25/2022 13:15,3563900,93.5987
8/25/2022 13:20,3488920,93.4856
8/25/2022 13:25,3371560,90.9053
8/25/2022 13:30,3204720,86.9068
8/25/2022 13:35,3095940,84.0918
8/25/2022 13:40,2935050,80.0166
8/25/2022 13:45,2753760,75.5434
8/25/2022 13:50,2470810,68.6433
8/25/2022 13:55,2222110,62.8244
8/25/2022 14:00,1999640,57.5651
8/25/2022 14:05,1877980,54.269
8/25/2022 14:10,1866670,53.7983
8/25/2022 14:15,1917040,54.4351
8/25/2022 14:20,1959700,55.8378
8/25/2022 14:25,1942480,55.5229
8/25/2022 14:30,1958050,55.2908
8/25/2022 14:35,1993720,56.7693
8/25/2022 14:40,1937650,55.2772
8/25/2022 14:45,1863000,53.1722
8/25/2022 14:50,1972180,55.8079
8/25/2022 14:55,2214410,60.0896
8/25/2022 15:00,2393320,66.3319
8/25/2022 15:05,2710000,73.4612
8/25/2022 15:10,2937450,80.2149
8/25/2022 15:15,2919490,80.6825
8/25/2022 15:20,2748270,75.2385
8/25/2022 15:25,2526040,70.9742
8/25/2022 15:30,2581240,71.836
8/25/2022 15:35,2503980,70.1122
8/25/2022 15:40,2445570,67.0925
8/25/2022 15:45,2373870,67.4463
8/25/2022 15:50,2480340,70.4306
8/25/2022 15:55,2582470,73.0168
8/25/2022 16:00,2570770,71.9631
8/25/2022 16:05,2595970,73.9417
8/25/2022 16:10,2941060,82.4006
8/25/2022 16:15,3262330,91.0246
8/25/2022 16:20,3211480,88.1475
8/25/2022 16:25,3372890,94.7704
8/25/2022 16:30,3725080,104.021
8/25/2022 16:35,4457590,122.2683
8/25/2022 16:40,5185270,141.3203
8/25/2022 16:45,5623200,153.6593
8/25/2022 16:50,5669710,156.74
8/25/2022 16:55,5308730,149.1637
8/25/2022 17:00,4607100,133.3037
8/25/2022 17:05,4065330,118.5493
8/25/2022 17:10,4021500,115.7783
8/25/2022 17:15,3817230,111.8247
8/25/2022 17:20,3400530,100.4583
8/25/2022 17:25,2956300,89.6282
8/25/2022 17:30,2606820,80.5297
8/25/2022 17:35,2146080,67.8272
8/25/2022 17:40,1525420,51.9178
8/25/2022 17:45,902310,34.8249
8/25/2022 17:50,567930,24.7023
8/25/2022 17:55,361515,18.5882
8/25/2022 18:00,247935,15.216
8/25/2022 18:05,177630,12.2195
8/25/2022 18:10,124770,11.4495
8/25/2022 18:15,92070,10.1832
8/25/2022 18:20,80220,10.3551
8/25/2022 18:25,80505,10.3554
8/25/2022 18:30,87180,10.508
8/25/2022 18:35,75990,8.5761
8/25/2022 18:40,51390,10.1197
8/25/2022 18:45,18285,9.3307
8/25/2022 18:50,0,8.3923
8/25/2022 18:55,0,7.0527
8/25/2022 19:00,0,4.235
8/25/2022 19:05,0,2.6632
8/25/2022 19:10,0,1.1745
8/25/2022 19:15,0,0.9565
8/25/2022 19:20,0,0.4782
8/25/2022 19:25,0,0.2391
8/25/2022 19:30,0,0
8/25/2022 19:35,0,
8/25/2022 19:40,0,
8/25/2022 19:45,0,
8/25/2022 19:50,0,
8/25/2022 19:55,0,
8/25/2022 20:00,0,0.2287
8/25/2022 20:05,0,1.1728
8/25/2022 20:10,0,0.5815
8/25/2022 20:15,0,0.2319
8/25/2022 20:20,0,0.2385
8/25/2022 20:25,0,0
8/25/2022 20:30,0,0
8/25/2022 20:35,0,0
8/25/2022 20:40,0,0
8/25/2022 20:45,0,
8/25/2022 20:50,0,0
8/25/2022 20:55,0,0
8/25/2022 21:00,0,
8/25/2022 21:05,0,0
8/25/2022 21:10,0,
8/25/2022 21:15,0,0
8/25/2022 21:20,0,
8/25/2022 21:25,0,0.2287
8/25/2022 21:30,0,0
8/25/2022 21:35,0,0
8/25/2022 21:40,0,0
8/25/2022 21:45,0,0
8/25/2022 21:50,0,0.1524
8/25/2022 21:55,0,0
8/25/2022 22:00,0,0
8/25/2022 22:05,0,
8/25/2022 22:10,0,0
8/25/2022 22:15,0,0
8/25/2022 22:20,0,
8/25/2022 22:25,0,0
8/25/2022 22:30,0,
8/25/2022 22:35,0,0
8/25/2022 22:40,0,0
8/25/2022 22:45,0,0
8/25/2022 22:50,0,0
8/25/2022 22:55,0,0
8/25/2022 23:00,0,0
8/25/2022 23:05,0,
8/25/2022 23:10,0,
8/25/2022 23:15,0,
8/25/2022 23:20,0,0
8/25/2022 23:25,0,
8/25/2022 23:30,0,0
8/25/2022 23:35,0,
8/25/2022 23:40,0,
8/25/2022 23:45,0,
8/25/2022 23:50,0,
8/25/2022 23:55,0,
8/26/2022 0:00,0,
